Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
35	:	1749588655.400	 32708.995	0	466	0	0	scripts/queue_job.sh 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART_35 'manhattan_100_14_5000_0_10_False_0_[0.5_1_1.5]_[1_2_3]_20_25.csv' 3600_60_True_True_True_True_True_False.csv 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART
34	:	1749588654.890	 33044.504	0	466	0	0	scripts/queue_job.sh 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART_34 'manhattan_100_14_5000_0_15_False_0_[0.5_1_1.5]_[1_2_3]_10_25.csv' 3600_60_True_True_True_True_True_False.csv 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART
36	:	1749588655.902	 33139.009	0	466	0	0	scripts/queue_job.sh 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART_36 'manhattan_100_14_5000_0_15_False_0_[0.5_1_1.5]_[1_2_3]_20_25.csv' 3600_60_True_True_True_True_True_False.csv 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART
37	:	1749588656.411	 33226.904	0	466	0	0	scripts/queue_job.sh 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART_37 'manhattan_100_16_5000_0_10_False_0_[0.5_1_1.5]_[1_2_3]_10_25.csv' 3600_60_True_True_True_True_True_False.csv 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART
39	:	1749588657.422	 33588.559	0	466	0	0	scripts/queue_job.sh 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART_39 'manhattan_100_16_5000_0_10_False_0_[0.5_1_1.5]_[1_2_3]_20_25.csv' 3600_60_True_True_True_True_True_False.csv 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART
38	:	1749588656.913	 34047.977	0	466	0	0	scripts/queue_job.sh 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART_38 'manhattan_100_16_5000_0_15_False_0_[0.5_1_1.5]_[1_2_3]_10_25.csv' 3600_60_True_True_True_True_True_False.csv 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART
50	:	1749588662.982	 34416.775	0	527	1	0	scripts/queue_job.sh 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART_50 'manhattan_100_19_5000_0_15_False_0_[0.5_1_1.5]_[1_2_3]_10_25.csv' 3600_60_True_True_True_True_True_False.csv 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART
41	:	1749588658.433	 34947.685	0	466	0	0	scripts/queue_job.sh 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART_41 'manhattan_100_17_5000_0_10_False_0_[0.5_1_1.5]_[1_2_3]_10_25.csv' 3600_60_True_True_True_True_True_False.csv 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART
52	:	1749588663.993	 35264.003	0	527	1	0	scripts/queue_job.sh 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART_52 'manhattan_100_19_5000_0_15_False_0_[0.5_1_1.5]_[1_2_3]_20_25.csv' 3600_60_True_True_True_True_True_False.csv 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART
43	:	1749588659.444	 35586.756	0	466	0	0	scripts/queue_job.sh 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART_43 'manhattan_100_17_5000_0_10_False_0_[0.5_1_1.5]_[1_2_3]_20_25.csv' 3600_60_True_True_True_True_True_False.csv 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART
44	:	1749588659.947	 36100.024	0	527	1	0	scripts/queue_job.sh 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART_44 'manhattan_100_17_5000_0_15_False_0_[0.5_1_1.5]_[1_2_3]_20_25.csv' 3600_60_True_True_True_True_True_False.csv 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART
45	:	1749588660.455	 36435.442	0	466	0	0	scripts/queue_job.sh 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART_45 'manhattan_100_18_5000_0_10_False_0_[0.5_1_1.5]_[1_2_3]_10_25.csv' 3600_60_True_True_True_True_True_False.csv 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART
48	:	1749588661.969	 36998.990	0	527	1	0	scripts/queue_job.sh 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART_48 'manhattan_100_18_5000_0_15_False_0_[0.5_1_1.5]_[1_2_3]_20_25.csv' 3600_60_True_True_True_True_True_False.csv 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART
47	:	1749588661.467	 37008.928	0	466	0	0	scripts/queue_job.sh 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART_47 'manhattan_100_18_5000_0_10_False_0_[0.5_1_1.5]_[1_2_3]_20_25.csv' 3600_60_True_True_True_True_True_False.csv 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART
